Nro de Cuenta;Documento Tarjeta;Denominacion en la Tarjeta;t1;t2;t3;t4;Fecha desde;Fecha hasta
1455677996;DNI:26555330;RODRIGO FERNANDEZ;2525;6713;4545;2539;25/09/2017;26/09/2023
1455677999;DNI:26555333;MERCEDES QUIROGA;2525;6713;4545;5143;15/09/2017;15/09/2019
1455678000;DNI:17777264;JUAN CARLOS TOMAS PEREZ;2525;6713;4545;3562;18/10/2017;17/10/2022
1455678004;DNI:26555337;MARYSOL ARGUELLO;2525;6713;4545;6073;05/11/2017;14/05/2019
1455678006;DNI:26555339;SILVIA ARENAS;2525;6713;4545;6198;29/10/2017;28/10/2022
1455678007;DNI:26555340;JOSE MANSILLA;2525;6713;4545;6631;17/09/2017;18/09/2022
1455678011;DNI:13654321;MARTINA LAUR;2525;6713;4545;4338;03/10/2017;03/10/2021
1455678012;e 90123123;JULUS MERCER;2525;6713;4545;4678;22/09/2017;22/09/2020
1455678013;DNI:26555342;ANDRES PESL;2525;6713;4545;3004;23/10/2017;22/10/2022
1455678014;DNI:26555343;CESAR PETRINA;2525;6713;4545;3283;21/10/2017;20/10/2022
1455678015;DNI:26555344;GUSTAVO PEZZOLI;2525;6713;4545;3748;15/10/2017;15/10/2021
