Nro de Cuenta;Documento Tarjeta;Denominacion en la Tarjeta;t1;t2;t3;t4;Fecha desde;Fecha hasta
2345678900;DNI:34560789;PATY CARDACI;5570;1414;2045;3004;12/10/2017;12/10/2021
2345678901;DNI:34560790;GERARDO OSLER;5570;1414;2045;3283;29/09/2017;29/09/2020
2345678902;DNI:34560791;LUIS GROSSO;5570;1414;2045;3562;19/09/2017;19/09/2020
2345678903;DNI:34560792;SOLEDAD ARANCIBA;5570;1414;2045;3655;05/10/2017;02/08/2021
2345678904;DNI:34560793;MARIA GARONIS;5570;1414;2045;3748;15/09/2017;16/09/2027
2345678905;DNI:34560794;PAMELA ABIRICHA;5570;1414;2045;2539;27/09/2017;27/09/2020
2345678906;DNI:34560795;LEANDRO ACCORSO;5570;1414;2045;2818;16/09/2017;16/09/2019
2345678907;DNI:34560796;MERCEDES CASCALLARES;5570;1414;2045;2911;12/09/2017;12/09/2019
2345678908;DNI:34560797;MARIANO OLDI;5570;1414;2045;4027;19/09/2017;20/09/2022
2345678909;DNI:34560798;EDGARDO OLLA;5570;1414;2045;4059;08/10/2017;08/10/2021
2345678910;DNI:34560799;DANIEL ORSO;5570;1414;2045;4120;05/10/2017;05/10/2021
2345678911;DNI:34560800;EZEQUIEL OTTO;5570;1414;2045;4338;01/10/2017;01/10/2020
2345678912;DNI:34560801;JAVIER RALES;5570;1414;2045;4617;28/09/2017;28/09/2020
2345678913;DNI:34560802;JUAN REIRA;5570;1414;2045;4678;25/09/2017;25/09/2020
2345678914;DNI:34560803;MANUEL RERA;5570;1414;2045;5143;23/09/2017;23/09/2020
2345678915;DNI:34560804;FRANCISCO RICHA;5570;1414;2045;6073;20/09/2017;20/09/2020
2345678916;DNI:34560805;PABLO RINA;5570;1414;2045;6105;17/09/2017;17/09/2020
2345678917;DNI:34560806;PABLO ROGA;5570;1414;2045;6198;13/09/2017;13/09/2019
2345678918;DNI:34560807;CARLOS SATI;5570;1414;2045;6631;09/09/2017;09/09/2019
2345678919;DNI:34560808;GISELA TAGNINO;5570;1414;2045;7003;02/09/2017;02/09/2019
