Nro de Cuenta;Documento Tarjeta;Denominacion en la Tarjeta;t1;t2;t3;t4;Fecha desde;Fecha hasta
1112131411;D 21644563;OSCAR PISTONE;6031;3636;1511;4617;13/10/2017;13/10/2021
1112131412;D 21644564;DANIEL CARRERA;6031;3636;1511;5143;07/10/2017;07/10/2021
1112131413;D 21644565;ALEJANDRA CATTANEO;6031;3636;1511;6073;04/10/2017;04/10/2021
1112131414;D 21644566;ANIBAL CHINIKAILO;6031;3636;1511;6105;30/09/2017;30/09/2020
1112131417;D 21644569;ISMAEL MOLINEZ;6031;3636;1511;3283;04/10/2017;01/10/2020
1112131418;D 21644570;EDU QUIROGA;6031;3636;1511;3655;08/08/2017;24/09/2019
1112131419;D 21644571;CARO SOLIS;6031;3636;1511;4027;30/09/2017;30/09/2018
1112131420;D 21644572;MARIA FUENTES;6031;3636;1511;4120;27/10/2017;26/10/2022
1112131422;E 91641230;GUILLERMO OCAÑO;6031;3636;1511;3004;11/09/2017;12/09/2027
1112131423;E 91641231;CLAUDIO SALVATELLI;6031;3636;1511;3562;21/09/2017;22/09/2022
1112131424;E 91641232;NERY SOSA;6031;3636;1511;3748;09/11/2017;26/12/2019
1112131426;E 91641234;KARINA LALLANA;6031;3636;1511;4338;25/10/2017;24/10/2022
1112131427;E 91641235;ALEX VILLAGRA;6031;3636;1511;4678;10/10/2017;10/10/2021
3017235712;DU: 40355277;EZEQUIEL RODRIGUEZ;6031;3636;1511;6198;18/09/2017;18/09/2020
3017235713;DU: 40355278;FERNANDO SANTORO;6031;3636;1511;6631;14/09/2017;14/09/2019
3017235714;DU: 40355279;RAMON SOSA;6031;3636;1511;7003;10/09/2017;10/09/2019
